pn,pn_interchangeable,interchangeable_type,authorization_code,vendor,prefer,category
0105924-001,0105924-001,M,,,,EXP
0105924-001,S417U006-1,B,,,N,EXP
0105924-001,L05734,B,,,N,EXP
01-0770544-00,01-0770544-00,M,,,,ROT
01-0770544-00,430M1,B,,,N,ROT
01-0770544-00,10-62239-1,B,,,N,ROT
01-0770666-00,01-0770666-00,M,,,,ROT
0108136-3,0108136-3,M,,,,EXP
0108160-5,0108160-5,M,,,,EXP
0108285-5,0108285-5,M,,,,EXP
0108901-01,0108901-01,M,,81205,,EXP
0108901-03,0108901-03,M,,BOEING CA,,ROT
0109706,0109706,M,,OEM,,TOOL
010BRASS1LB,010BRASS1LB,M,,,,CONS
010K311,010K311,M,,,,CONS
01102,01102,M,,,,TOOL
01-1020,01-1020,M,,,,TOOL
011-0201-000,011-0201-000,M,,,,EXP
011-0201-001,011-0201-001,M,,,,EXP
01-1048,01-1048,M,,,,TOOL
011-0803-001,011-0803-001,M,,,,EXP
011-0813-001,011-0813-001,M,,,,EXP
011-2244-001,011-2244-001,M,,,,EXP
011-2280-001,011-2280-001,M,,,,EXP
011-2294-001,011-2294-001,M,,,,EXP
011-2425-001,011-2425-001,M,,,,EXP
011-2455-002,011-2455-002,M,,,,EXP
011-2468-002,011-2468-002,M,,,,EXP
011-2519-001,011-2519-001,M,,,,EXP
011-2657-001,011-2657-001,M,,,,EXP
011-2747-001,011-2747-001,M,,,,EXP
01130,01130,M,,,,TOOL
0114-00,0114-00,M,,,,EXP
011-4079-001,011-4079-001,M,,,,CONS
01157,01157,M,,,,TOOL
01166,01166,M,,,,CONS
01168,01168,M,,,,TOOL
01170,01170,M,,,,TOOL
01173,01173,M,,,,TOOL
01177,01177,M,,,,TOOL
01-17-92,01-17-92,M,,,,EXP
011798-1494,011798-1494,M,,,,EXP
01188,01188,M,,,,TOOL
0121521300-8,0121521300-8,M,,,,REPSN
0121521300-9,0121521300-9,M,,,,REPSN
0121521400-3,0121521400-3,M,,,,ROT
0123FA2,0123FA2,M,,,,ROT
012491,012491,M,,,,EXP
012A8102,012A8102,M,,,,TOOL
012U8100-23,012U8100-23,M,,,,EXP
012U8100-602,012U8100-602,M,,,,EXP
0-131005500000,0-131-05500000,B,,,N,EXP
0-131005500000,0-131005500000,M,,,,EXP
0131-01A5001,0131-01A5001,M,,,,EXP
013-1091-000,013-1091-000,M,,,,EXP
013-1093-000,013-1093-000,M,,,,EXP
0-131-60540000,0-131-60540000,M,,,,EXP
0-132-000100000,0-132-000100000,M,,,,EXP
0-132-00020000,0-132-00020000,M,,,,EXP
0-132-00020000,0-132-000200000,B,,,N,EXP
0-132-000700000,0-132-000700000,M,,,,EXP
0-132-000800000,0-132-000800000,M,,,,EXP
0-132-00180000,0-132-001800000,B,,,N,EXP
0-132-00180000,0-132-00180000,M,,,,EXP
0-132-004500000,0-132-004500000,M,,,,EXP
01-365110,01-365110,M,,,,EXP
01-365510,01-365510,M,,,,EXP
01382,01382,M,,,,TOOL
01392,01392,M,,,,TOOL
014-1198-000,014-1198-000,M,,,,EXP
01490028,01490028,M,,,,TOOL
01490032,01490032,M,,,,TOOL
01490034,01490034,M,,,,TOOL
014G,014G,M,,,,EXP
015-001-003,015-001-003,M,,,,ROT
015-001-004,015-001-004,M,,,,ROT
015-0848-000,015-0848-000,M,,,,EXP
01510-001,01510-001,M,,,,EXP
0-152-000900000,0-152-000900000,M,,,,EXP
0154EW4-1,0154EW4-1,M,,59885,,ROT
0154EW4-1,154EW4-1,B,,,N,ROT
0154EW4-1,1851M60P02,B,,,,ROT
015503-S5-6D,015503-S5-6D,M,,,,TOOL
0155-260,0155-260,M,,,,EXP
0-156-001102006,0-156-001102006,M,,,,EXP
015957-000,015957-000,M,,,,EXP
015A401,015A401,M,,,,EXP
015T0779-8,015T0779-8,M,,,,EXP
015T0805-2,015T0805-2,M,,,,EXP
015T0805-3,015T0805-3,M,,,,EXP
015T0805-4,015T0805-4,M,,,,EXP
015T1348-34,015T1348-34,M,,,,EXP
015T1422-2,015T1422-3,B,,,N,EXP
015T1422-2,015T1422-2,M,,,,EXP
015T1424-1,015T1424-1,M,,,,EXP
015T1424-11,015T1424-11,M,,,,EXP
015T1472-3,015T1472-3,M,,,,EXP
015T1516-1,015T1516-1,M,,,,EXP
015T1526-4,015T1526-4,M,,,,EXP
015T1529-1,015T1529-1,M,,,,EXP
015T1529-7,015T1529-7,M,,,,EXP
015T1544-3,015T1544-3,M,,,,EXP
015T1549-7,015T1549-7,M,,,,EXP
015T1550-1,015T1550-1,M,,,,EXP
015T1576-3,015T1576-3,M,,,,EXP
015T1579-11,015T1579-11,M,,,,EXP
015T1613-7,015T1613-7,M,,,,EXP
015T1649-13,015T1649-13,M,,,,EXP
015T1688-1,015T1688-1,M,,,,EXP
015U0062-14,015U0062-14,M,,,,KIT
015U0062-15,015U0062-15,M,,,,KIT
015U0062-16,015U0062-16,M,,,,KIT
015U0062-17,015U0062-17,M,,,,KIT
015U0326-23,015U0326-23,M,,,,EXP
015U0326-23,015U0326-39,B,,,N,EXP
015U0399-5,015U0399-5,M,,,,EXP
015U0399-6,015U0399-6,M,,,,EXP
015U0399-7,015U0399-7,M,,,,EXP
015U0542-10,015U0542-10,M,,,,ROT
015U0579-71,015U0579-71,M,,,,EXP
015U0591-1,015U0591-1,M,,,,EXP
015U0739-6,015U0739-6,M,,,,EXP
015U0747-1,015U0747-1,M,,,,EXP
015U0772-8,015U0772-8,M,,,,EXP
015U0775-1,015U0775-1,M,,,,EXP
015U0775-20,015U0775-20,M,,,,EXP
015U0775-20,323U2321-283,B,,,N,EXP
015U0861-1,015U0861-1,M,,,,EXP
015U0864-4,015U0864-4,M,,,,EXP
015U0867-1,015U0867-1,M,,,,EXP
015U0867-2,015U0867-2,M,,,,EXP
015U0902-1,015U0902-1,M,,,,EXP
015U0902-3,015U0902-3,M,,,,EXP
015U0902-4,015U0902-4,M,,,,EXP
015U0907-1,015U0907-1,M,,,,EXP
015U0909-1,015U0909-1,M,,,,EXP
015U0913-1,015U0913-1,M,,,,EXP
015U0918-1,015U0918-1,M,,,,EXP
015U0933-2CLX,015U0933-2CLX,M,,,,EXP
015U0933-3CLX,015U0933-3CLX,M,,,,EXP
015U0933-8,015U0933-8,M,,,,EXP
015U0939-2,015U0939-2,M,,,,EXP
015U0939-3,015U0939-3,M,,,,EXP
015U0939-36,015U0939-36,M,,,,EXP
015U0966-1,015U0966-1,M,,,,EXP
015U0978-1,015U0978-1,M,,,,EXP
015U0980-1,015U0980-1,M,,,,EXP
015U1051-26,015U1051-26,M,,,,EXP
015U1051-6,015U1051-6,M,,,,EXP
015U1051-6,015U1051-24,B,,,N,EXP
015U1065-3,015U1065-3,M,,,,EXP
015U1069-1,015U1069-1,M,,,,TOOL
015U1069-100,015U1069-100,M,,,,TOOL
015U1069-2,015U1069-2,M,,,,TOOL
015U1069-201,015U1069-201,M,,,,TOOL
015U1069-3,015U1069-3,M,,,,TOOL
015U1069-300,015U1069-300,M,,,,TOOL
015U1072-18,015U1072-66,B,,,N,EXP
015U1072-18,015U1072-18,M,,,,EXP
015U1072-70,015U1072-70,M,,,,EXP
015U1073-1,015U1073-1,M,,,,EXP
015U1080-1,015U1080-1,M,,,,EXP
015U1081-1,015U1081-1,M,,,,EXP
015U1085-1,015U1085-1,M,,,,EXP
015U1085-3,015U1085-3,M,,,,EXP
015U1089-1,015U1089-1,M,,,,EXP
015U1092-1,015U1092-1,M,,,,EXP
015U1092-3,015U1092-3,M,,,,EXP
015U1094-2,015U1094-2,M,,,,EXP
015U1115-1,015U1115-1,M,,,,EXP
015U1216-1,015U1216-1,M,,,,EXP
015U1239-1,015U1239-1,M,,,,EXP
015U1260-1,015U1260-1,M,,,,EXP
015U1274-1,015U1274-1,M,,,,EXP
015U1286-25,015U1286-25,M,,,,EXP
015U1286-26,015U1286-26,M,,,,EXP
015U1286-31,015U1286-31,M,,,,EXP
015U1286-32,015U1286-32,M,,,,EXP
015U1292-1,015U1292-1,M,,,,EXP
015U1298-1,015U1298-1,M,,,,EXP
015U1300-2,015U1300-2,M,,,,EXP
015U1306-1,015U1306-1,M,,,,EXP
015U1310-1,015U1310-1,M,,,,EXP
015U1319-1,015U1319-1,M,,,,EXP
015U1320-7,015U1320-7,M,,,,EXP
015U1322-4,015U1322-4,M,,,,EXP
015U1323-5,015U1323-5,M,,,,EXP
015U1323-6,015U1323-6,M,,,,EXP
015U1323-7,015U1323-7,M,,,,EXP
015U1323-8,015U1323-8,M,,,,EXP
015U1334-2,015U1334-2,M,,,,EXP
015U1336-1,015U1336-1,M,,,,EXP
015U1336-2,015U1336-2,M,,,,EXP
015U1338-1,015U1338-1,M,,,,EXP
015U1338-4,015U1338-4,M,,,,EXP
015U1348-2,015U1348-2,M,,,,EXP
015U1350-3,015U1350-3,M,,,,EXP
015U1355-1,015U1355-1,M,,,,EXP
015U1359-1,015U1359-1,M,,,,EXP
015U1362-1,015U1362-1,M,,,,EXP
015U1364-3,015U1364-3,M,,,,EXP
015U1364-4,015U1364-4,M,,,,EXP
015U1370-1,015U1370-1,M,,,,EXP
015U1373-1,015U1373-1,M,,,,EXP
015U1387-1,015U1387-1,M,,,,EXP
015U1394-1,015U1394-1,M,,,,EXP
